"entrez_symbol","driver_mechanism","label","refresh_date","source"
"PBRM1","LoF","PBRM1 LoF","04 April 2023","Intogen"
"PCBP1","GoF","PCBP1 GoF","04 April 2023","Intogen"
"PCDH17","LoF","PCDH17 LoF","04 April 2023","Intogen"
"PCMTD1","LoF","PCMTD1 LoF","04 April 2023","Intogen"
"PDCD1LG2","GoF","PDCD1LG2 GoF","04 April 2023","Intogen"
"PDE4DIP","GoF","PDE4DIP GoF","04 April 2023","Intogen"
"PDGFRA","GoF","PDGFRA GoF","04 April 2023","Intogen"
"PDGFRB","GoF","PDGFRB GoF","04 April 2023","Intogen"
"PEG3","GoF","PEG3 GoF","04 April 2023","Intogen"
"PHF6","LoF","PHF6 LoF","04 April 2023","Intogen"
"PIK3CA","GoF","PIK3CA GoF","04 April 2023","Intogen"
"PIK3CB","GoF","PIK3CB GoF","04 April 2023","Intogen"
"PIK3R1","LoF","PIK3R1 LoF","04 April 2023","Intogen"
"PIM1","LoF","PIM1 LoF","04 April 2023","Intogen"
"PLAG1","GoF","PLAG1 GoF","04 April 2023","Intogen"
"PLCB4","GoF","PLCB4 GoF","04 April 2023","Intogen"
"PLCG1","GoF","PLCG1 GoF","04 April 2023","Intogen"
"PML","LoF","PML LoF","04 April 2023","Intogen"
"PMS2","LoF","PMS2 LoF","04 April 2023","Intogen"
"POLD1","GoF","POLD1 GoF","04 April 2023","Intogen"
"PPM1D","LoF","PPM1D LoF","04 April 2023","Intogen"
"PPP2R1A","GoF","PPP2R1A GoF","04 April 2023","Intogen"
"PPP3CA","LoF","PPP3CA LoF","04 April 2023","Intogen"
"PPP6C","LoF","PPP6C LoF","04 April 2023","Intogen"
"PPT2","GoF","PPT2 GoF","04 April 2023","Intogen"
"PRDM1","LoF","PRDM1 LoF","04 April 2023","Intogen"
"PREX2","GoF","PREX2 GoF","04 April 2023","Intogen"
"PRF1","LoF","PRF1 LoF","04 April 2023","Intogen"
"PRKAR1A","LoF","PRKAR1A LoF","04 April 2023","Intogen"
"PRKCB","GoF","PRKCB GoF","04 April 2023","Intogen"
"PRKCD","LoF","PRKCD LoF","04 April 2023","Intogen"
"PRR14","LoF","PRR14 LoF","04 April 2023","Intogen"
"PRRX1","GoF","PRRX1 GoF","04 April 2023","Intogen"
"PSIP1","GoF","PSIP1 GoF","04 April 2023","Intogen"
"PTCH1","LoF","PTCH1 LoF","04 April 2023","Intogen"
"PTEN","LoF","PTEN LoF","04 April 2023","Intogen"
"PTMA","LoF","PTMA LoF","04 April 2023","Intogen"
"PTPN11","GoF","PTPN11 GoF","04 April 2023","Intogen"
"PTPN13","LoF","PTPN13 LoF","04 April 2023","Intogen"
"PTPN14","LoF","PTPN14 LoF","04 April 2023","Intogen"
"PTPN6","LoF","PTPN6 LoF","04 April 2023","Intogen"
"PTPRC","GoF","PTPRC GoF","04 April 2023","Intogen"
"PTPRD","GoF","PTPRD GoF","04 April 2023","Intogen"
"PTPRK","LoF","PTPRK LoF","04 April 2023","Intogen"
"PTPRT","LoF","PTPRT LoF","04 April 2023","Intogen"
"QKI","LoF","QKI LoF","04 April 2023","Intogen"
"RABEP1","LoF","RABEP1 LoF","04 April 2023","Intogen"
"RAC1","GoF","RAC1 GoF","04 April 2023","Intogen"
"RAD21","LoF","RAD21 LoF","04 April 2023","Intogen"
"RAF1","GoF","RAF1 GoF","04 April 2023","Intogen"
"RALGDS","GoF","RALGDS GoF","04 April 2023","Intogen"
"RANBP2","LoF","RANBP2 LoF","04 April 2023","Intogen"
"RAP1GDS1","GoF","RAP1GDS1 GoF","04 April 2023","Intogen"
"RARA","GoF","RARA GoF","04 April 2023","Intogen"
"RASA1","LoF","RASA1 LoF","04 April 2023","Intogen"
"RASA2","LoF","RASA2 LoF","04 April 2023","Intogen"
"RB1","LoF","RB1 LoF","04 April 2023","Intogen"
"RBFOX1","GoF","RBFOX1 GoF","04 April 2023","Intogen"
"RBFOX2","GoF","RBFOX2 GoF","04 April 2023","Intogen"
"RBM10","LoF","RBM10 LoF","04 April 2023","Intogen"
"RBM15","LoF","RBM15 LoF","04 April 2023","Intogen"
"RBM39","GoF","RBM39 GoF","04 April 2023","Intogen"
"RECQL4","LoF","RECQL4 LoF","04 April 2023","Intogen"
"RELA","GoF","RELA GoF","04 April 2023","Intogen"
"RET","GoF","RET GoF","04 April 2023","Intogen"
"RGL3","GoF","RGL3 GoF","04 April 2023","Intogen"
"RGS7","LoF","RGS7 LoF","04 April 2023","Intogen"
"RHOA","GoF","RHOA GoF","04 April 2023","Intogen"
"RNF213","GoF","RNF213 GoF","04 April 2023","Intogen"
"RNF43","LoF","RNF43 LoF","04 April 2023","Intogen"
"RNF6","LoF","RNF6 LoF","04 April 2023","Intogen"
"RPL10","LoF","RPL10 LoF","04 April 2023","Intogen"
"RPL22","GoF","RPL22 GoF","04 April 2023","Intogen"
"RPS6KA3","LoF","RPS6KA3 LoF","04 April 2023","Intogen"
"RRAGC","GoF","RRAGC GoF","04 April 2023","Intogen"
"RRAS2","GoF","RRAS2 GoF","04 April 2023","Intogen"
"RXRA","LoF","RXRA LoF","04 April 2023","Intogen"
"SALL4","GoF","SALL4 GoF","04 April 2023","Intogen"
"SATB1","GoF","SATB1 GoF","04 April 2023","Intogen"
"SDC4","LoF","SDC4 LoF","04 April 2023","Intogen"
"SEPT9","GoF","SEPT9 GoF","04 April 2023","Intogen"
"SET","GoF","SET GoF","04 April 2023","Intogen"
"SETBP1","GoF","SETBP1 GoF","04 April 2023","Intogen"
"SETD1B","LoF","SETD1B LoF","04 April 2023","Intogen"
"SETD2","LoF","SETD2 LoF","04 April 2023","Intogen"
"SETDB1","GoF","SETDB1 GoF","04 April 2023","Intogen"
"SF3B1","GoF","SF3B1 GoF","04 April 2023","Intogen"
"SFMBT2","GoF","SFMBT2 GoF","04 April 2023","Intogen"
"SIN3A","GoF","SIN3A GoF","04 April 2023","Intogen"
"SIRPA","LoF","SIRPA LoF","04 April 2023","Intogen"
"SIX1","LoF","SIX1 LoF","04 April 2023","Intogen"
"SLC45A3","LoF","SLC45A3 LoF","04 April 2023","Intogen"
"SMAD2","LoF","SMAD2 LoF","04 April 2023","Intogen"
"SMAD3","LoF","SMAD3 LoF","04 April 2023","Intogen"
"SMAD4","LoF","SMAD4 LoF","04 April 2023","Intogen"
"SMARCA1","LoF","SMARCA1 LoF","04 April 2023","Intogen"
"SMARCA4","LoF","SMARCA4 LoF","04 April 2023","Intogen"
"SMARCB1","LoF","SMARCB1 LoF","04 April 2023","Intogen"
"SMC1A","GoF","SMC1A GoF","04 April 2023","Intogen"
"SMO","GoF","SMO GoF","04 April 2023","Intogen"
"SOCS1","LoF","SOCS1 LoF","04 April 2023","Intogen"
"SOHLH2","GoF","SOHLH2 GoF","04 April 2023","Intogen"
"SOS1","GoF","SOS1 GoF","04 April 2023","Intogen"
"SOX17","GoF","SOX17 GoF","04 April 2023","Intogen"
"SOX21","LoF","SOX21 LoF","04 April 2023","Intogen"
"SOX9","LoF","SOX9 LoF","04 April 2023","Intogen"
"SPOP","GoF","SPOP GoF","04 April 2023","Intogen"
"SRGAP3","GoF","SRGAP3 GoF","04 April 2023","Intogen"
"SRSF2","GoF","SRSF2 GoF","04 April 2023","Intogen"
"STAG2","LoF","STAG2 LoF","04 April 2023","Intogen"
"STAT6","GoF","STAT6 GoF","04 April 2023","Intogen"
"STK11","LoF","STK11 LoF","04 April 2023","Intogen"
"SUSD2","GoF","SUSD2 GoF","04 April 2023","Intogen"
"SUZ12","GoF","SUZ12 GoF","04 April 2023","Intogen"
"TBL1XR1","LoF","TBL1XR1 LoF","04 April 2023","Intogen"
"TBX3","LoF","TBX3 LoF","04 April 2023","Intogen"
"TCF4","GoF","TCF4 GoF","04 April 2023","Intogen"
"TCF7L2","GoF","TCF7L2 GoF","04 April 2023","Intogen"
"TCIRG1","LoF","TCIRG1 LoF","04 April 2023","Intogen"
"TEC","LoF","TEC LoF","04 April 2023","Intogen"
"TET2","LoF","TET2 LoF","04 April 2023","Intogen"
"TFAP4","LoF","TFAP4 LoF","04 April 2023","Intogen"
"TFG","LoF","TFG LoF","04 April 2023","Intogen"
"TGFBR2","LoF","TGFBR2 LoF","04 April 2023","Intogen"
"TGIF1","LoF","TGIF1 LoF","04 April 2023","Intogen"
"TLL1","GoF","TLL1 GoF","04 April 2023","Intogen"
"TNFAIP3","LoF","TNFAIP3 LoF","04 April 2023","Intogen"
"TNFRSF14","LoF","TNFRSF14 LoF","04 April 2023","Intogen"
"TOP1","LoF","TOP1 LoF","04 April 2023","Intogen"
"TOP2A","GoF","TOP2A GoF","04 April 2023","Intogen"
"TP53","LoF","TP53 LoF","04 April 2023","Intogen"
"TRAF3","LoF","TRAF3 LoF","04 April 2023","Intogen"
"TRIM24","GoF","TRIM24 GoF","04 April 2023","Intogen"
"TRIM49C","GoF","TRIM49C GoF","04 April 2023","Intogen"
"TRIP11","GoF","TRIP11 GoF","04 April 2023","Intogen"
"TSC1","LoF","TSC1 LoF","04 April 2023","Intogen"
"TSC2","LoF","TSC2 LoF","04 April 2023","Intogen"
